label,log_file,total_vehicles,sim_duration_sec,avg_wait_time_sec,min_wait_time_sec,max_wait_time_sec,avg_wait_time_by_direction,vehicles_by_direction,vehicles_by_type
priority_bottom_left_120,priority_log_120_20250622_071223.csv,50,99.0,9.37,0.0,39.73,"{'right': 15.21, 'left': 7.35, 'down': 9.46, 'up': 9.85}","{'right': 7, 'up': 4, 'down': 17, 'left': 22}","{'bike': 8, 'bus': 19, 'car': 8, 'truck': 15}"
priority_bottom_left_120,priority_log_120_20250622_071221.csv,50,97.0,7.36,0.0,35.05,"{'down': 6.56, 'left': 9.59, 'right': 6.37, 'up': 6.78}","{'right': 9, 'up': 10, 'down': 18, 'left': 13}","{'bike': 9, 'bus': 16, 'car': 13, 'truck': 12}"
priority_bottom_left_120,priority_log_120_20250622_071224.csv,50,92.0,10.17,0.0,37.23,"{'right': 6.3, 'left': 10.84, 'up': 11.52, 'down': 11.52}","{'right': 11, 'up': 9, 'down': 15, 'left': 15}","{'truck': 9, 'car': 11, 'bus': 10, 'bike': 20}"
fixed_bottom_left_120,fixed_log_120_20250622_065356.csv,50,86.0,18.96,0.0,53.27,"{'down': 20.04, 'left': 16.26, 'up': 18.28, 'right': 26.06}","{'right': 6, 'up': 4, 'down': 18, 'left': 22}","{'truck': 13, 'car': 15, 'bus': 9, 'bike': 13}"
priority_bottom_left_120,priority_log_120_20250622_071225.csv,50,93.0,11.28,0.0,34.34,"{'right': 11.67, 'left': 11.09, 'down': 11.01, 'up': 11.59}","{'right': 9, 'up': 10, 'down': 11, 'left': 20}","{'bike': 16, 'car': 9, 'bus': 12, 'truck': 13}"
fixed_bottom_left_120,fixed_log_120_20250622_065354.csv,50,101.0,21.93,0.0,53.94,"{'right': 17.26, 'down': 23.65, 'left': 22.57, 'up': 23.72}","{'right': 10, 'up': 5, 'down': 14, 'left': 21}","{'car': 14, 'bus': 13, 'bike': 12, 'truck': 11}"
fixed_bottom_left_120,fixed_log_120_20250622_065358.csv,50,84.0,20.61,0.0,53.25,"{'down': 21.18, 'left': 20.35, 'up': 11.16, 'right': 22.21}","{'right': 7, 'up': 2, 'down': 22, 'left': 19}","{'car': 12, 'bus': 11, 'truck': 16, 'bike': 11}"
fixed_bottom_left_120,fixed_log_120_20250622_065355.csv,50,93.0,17.98,0.0,51.91,"{'right': 11.81, 'down': 15.26, 'left': 23.77, 'up': 13.81}","{'right': 7, 'up': 7, 'down': 16, 'left': 20}","{'car': 15, 'bus': 9, 'truck': 11, 'bike': 15}"
priority_bottom_left_120,priority_log_120_20250622_071222.csv,50,97.0,7.75,0.0,32.34,"{'right': 6.83, 'up': 8.53, 'down': 7.31, 'left': 7.81}","{'right': 5, 'up': 15, 'down': 18, 'left': 12}","{'truck': 14, 'bus': 13, 'car': 15, 'bike': 8}"
fixed_bottom_left_120,fixed_log_120_20250622_065357.csv,50,94.0,22.08,0.0,53.5,"{'right': 20.05, 'down': 25.57, 'left': 22.99, 'up': 11.47}","{'right': 7, 'up': 6, 'down': 17, 'left': 20}","{'bike': 14, 'bus': 9, 'car': 14, 'truck': 13}"
priority_even_120,priority_log_120_20250629_043418.csv,50,95.0,9.97,0.0,30.42,"{'right': 10.18, 'left': 5.57, 'up': 9.61, 'down': 13.62}","{'right': 18, 'up': 16, 'down': 9, 'left': 7}","{'car': 6, 'bus': 11, 'truck': 17, 'bike': 16}"
fixed_even_120,fixed_log_120_20250629_043134.csv,50,95.0,15.8,0.0,53.64,"{'right': 10.1, 'down': 13.42, 'left': 21.23, 'up': 16.73}","{'right': 8, 'up': 11, 'down': 17, 'left': 14}","{'car': 9, 'bus': 16, 'bike': 8, 'truck': 17}"
fixed_even_120,fixed_log_120_20250629_043127.csv,50,107.0,20.91,0.0,53.45,"{'right': 26.44, 'down': 20.86, 'left': 18.24, 'up': 18.9}","{'right': 11, 'up': 10, 'down': 14, 'left': 15}","{'truck': 14, 'bus': 13, 'car': 15, 'bike': 8}"
fixed_even_120,fixed_log_120_20250622_071739.csv,50,107.0,16.83,0.0,53.59,"{'right': 15.7, 'down': 15.21, 'left': 16.52, 'up': 21.34}","{'right': 10, 'up': 9, 'down': 15, 'left': 16}","{'truck': 10, 'bus': 14, 'car': 12, 'bike': 14}"
fixed_even_120,fixed_log_120_20250629_043130.csv,50,104.0,22.96,0.0,54.0,"{'right': 25.32, 'down': 20.19, 'left': 23.17, 'up': 21.48}","{'right': 16, 'up': 9, 'down': 10, 'left': 15}","{'truck': 10, 'car': 15, 'bus': 14, 'bike': 11}"
priority_even_120,priority_log_120_20250629_043414.csv,50,101.0,8.03,0.0,44.72,"{'down': 9.35, 'up': 8.93, 'left': 8.91, 'right': 5.91}","{'right': 16, 'up': 13, 'down': 8, 'left': 13}","{'car': 20, 'bus': 13, 'truck': 7, 'bike': 10}"
priority_even_120,priority_log_120_20250622_071718.csv,50,97.0,7.44,0.0,30.22,"{'left': 9.03, 'right': 6.47, 'down': 5.04, 'up': 10.98}","{'right': 16, 'up': 11, 'down': 15, 'left': 8}","{'car': 17, 'bus': 11, 'truck': 10, 'bike': 12}"
priority_even_120,priority_log_120_20250629_043417.csv,50,95.0,9.45,0.0,30.37,"{'up': 6.67, 'down': 10.72, 'left': 8.78, 'right': 13.48}","{'right': 6, 'up': 15, 'down': 19, 'left': 10}","{'bike': 11, 'bus': 12, 'car': 17, 'truck': 10}"
priority_even_120,priority_log_120_20250629_043419.csv,50,90.0,8.57,0.0,34.42,"{'down': 4.7, 'right': 10.47, 'left': 9.51, 'up': 9.2}","{'right': 11, 'up': 15, 'down': 11, 'left': 13}","{'bike': 13, 'car': 18, 'bus': 8, 'truck': 11}"
fixed_even_120,fixed_log_120_20250629_043132.csv,50,98.0,21.74,0.0,54.01,"{'right': 20.66, 'down': 16.85, 'left': 25.74, 'up': 24.15}","{'right': 10, 'up': 10, 'down': 15, 'left': 15}","{'car': 12, 'bus': 15, 'bike': 7, 'truck': 16}"
fixed_even_120,fixed_log_120_20250629_043128.csv,50,97.0,18.93,0.0,53.53,"{'right': 15.14, 'down': 19.64, 'left': 20.76, 'up': 17.33}","{'right': 8, 'up': 9, 'down': 14, 'left': 19}","{'bike': 12, 'car': 14, 'bus': 12, 'truck': 12}"
priority_even_120,priority_log_120_20250629_043421.csv,50,96.0,10.39,0.0,48.38,"{'up': 17.35, 'right': 8.41, 'down': 7.7, 'left': 8.12}","{'right': 21, 'up': 12, 'down': 8, 'left': 9}","{'truck': 6, 'bus': 18, 'car': 14, 'bike': 12}"
fixed_even_120,fixed_log_120_20250622_071737.csv,50,97.0,19.95,0.0,50.46,"{'right': 19.95, 'down': 19.52, 'left': 18.41, 'up': 22.98}","{'right': 11, 'up': 9, 'down': 17, 'left': 13}","{'truck': 11, 'car': 13, 'bus': 11, 'bike': 15}"
fixed_even_120,fixed_log_120_20250629_043124.csv,50,103.0,20.77,0.0,52.99,"{'right': 20.51, 'down': 17.32, 'left': 23.71, 'up': 22.54}","{'right': 12, 'up': 11, 'down': 15, 'left': 12}","{'truck': 13, 'car': 12, 'bus': 16, 'bike': 9}"
priority_even_120,priority_log_120_20250629_043415.csv,50,93.0,9.33,0.0,52.58,"{'down': 13.42, 'left': 6.94, 'up': 10.08, 'right': 5.45}","{'right': 10, 'up': 14, 'down': 14, 'left': 12}","{'truck': 16, 'car': 15, 'bus': 11, 'bike': 8}"
priority_even_120,priority_log_120_20250629_043416.csv,50,90.0,10.5,0.0,45.38,"{'down': 7.88, 'up': 15.93, 'right': 7.86, 'left': 11.06}","{'right': 8, 'up': 8, 'down': 13, 'left': 21}","{'truck': 11, 'bus': 17, 'car': 9, 'bike': 13}"
priority_even_120,priority_log_120_20250629_043412.csv,50,96.0,11.14,0.0,38.29,"{'up': 7.8, 'down': 14.04, 'left': 12.37, 'right': 10.2}","{'right': 11, 'up': 13, 'down': 13, 'left': 13}","{'bike': 19, 'bus': 11, 'car': 10, 'truck': 10}"
priority_even_120,priority_log_120_20250622_071717.csv,50,95.0,10.73,0.0,38.93,"{'right': 12.31, 'left': 7.35, 'down': 12.05, 'up': 11.33}","{'right': 16, 'up': 13, 'down': 8, 'left': 13}","{'bike': 20, 'bus': 6, 'car': 12, 'truck': 12}"
priority_even_120,priority_log_120_20250629_043420.csv,50,93.0,9.19,0.0,37.66,"{'right': 7.45, 'up': 10.45, 'down': 10.5, 'left': 8.79}","{'right': 13, 'up': 7, 'down': 15, 'left': 15}","{'truck': 16, 'bus': 9, 'car': 9, 'bike': 16}"
priority_even_120,priority_log_120_20250629_043413.csv,50,98.0,11.04,0.0,39.08,"{'down': 8.99, 'up': 12.22, 'right': 8.08, 'left': 15.05}","{'right': 13, 'up': 11, 'down': 13, 'left': 13}","{'truck': 13, 'car': 16, 'bus': 10, 'bike': 11}"
fixed_even_120,fixed_log_120_20250629_043125.csv,50,107.0,21.05,0.0,51.45,"{'right': 13.95, 'down': 23.92, 'left': 22.1, 'up': 24.32}","{'right': 12, 'up': 9, 'down': 14, 'left': 15}","{'bike': 12, 'car': 16, 'bus': 10, 'truck': 12}"
priority_even_120,priority_log_120_20250622_071719.csv,50,97.0,9.13,0.0,36.98,"{'right': 9.14, 'left': 6.28, 'up': 10.48, 'down': 11.02}","{'right': 13, 'up': 16, 'down': 8, 'left': 13}","{'bike': 16, 'bus': 12, 'car': 12, 'truck': 10}"
fixed_even_120,fixed_log_120_20250629_043129.csv,50,98.0,18.32,0.0,53.5,"{'right': 17.81, 'down': 16.76, 'left': 21.63, 'up': 15.92}","{'right': 12, 'up': 9, 'down': 14, 'left': 15}","{'bike': 17, 'bus': 13, 'car': 10, 'truck': 10}"
priority_even_120,priority_log_120_20250622_071716.csv,50,92.0,8.93,0.0,41.22,"{'down': 17.06, 'left': 5.31, 'right': 6.86, 'up': 9.49}","{'right': 9, 'up': 9, 'down': 11, 'left': 21}","{'truck': 12, 'bus': 11, 'car': 14, 'bike': 13}"
fixed_even_120,fixed_log_120_20250629_043133.csv,50,105.0,25.54,0.0,54.01,"{'right': 24.44, 'down': 23.21, 'left': 21.8, 'up': 40.29}","{'right': 11, 'up': 8, 'down': 7, 'left': 24}","{'truck': 8, 'bus': 15, 'car': 14, 'bike': 13}"
fixed_even_120,fixed_log_120_20250622_071738.csv,50,107.0,20.64,0.0,53.51,"{'right': 18.02, 'down': 20.91, 'left': 16.2, 'up': 29.25}","{'right': 12, 'up': 11, 'down': 12, 'left': 15}","{'truck': 12, 'car': 21, 'bus': 8, 'bike': 9}"
fixed_even_120,fixed_log_120_20250629_043135.csv,50,107.0,23.36,0.0,53.93,"{'right': 22.41, 'down': 20.02, 'left': 25.61, 'up': 25.44}","{'right': 12, 'up': 9, 'down': 13, 'left': 16}","{'car': 13, 'bus': 11, 'bike': 12, 'truck': 14}"
priority_even_120,priority_log_120_20250629_043422.csv,50,100.0,10.0,0.0,45.09,"{'right': 12.56, 'down': 8.88, 'left': 10.16, 'up': 9.97}","{'right': 8, 'up': 9, 'down': 20, 'left': 13}","{'bike': 12, 'bus': 13, 'car': 16, 'truck': 9}"
fixed_even_120,fixed_log_120_20250622_071741.csv,50,110.0,19.35,0.0,53.27,"{'right': 20.41, 'down': 14.94, 'left': 18.28, 'up': 27.32}","{'right': 10, 'up': 8, 'down': 12, 'left': 20}","{'truck': 10, 'bus': 13, 'car': 11, 'bike': 16}"
priority_even_120,priority_log_120_20250629_043411.csv,50,93.0,7.19,0.0,26.79,"{'left': 8.82, 'up': 5.78, 'right': 7.98, 'down': 5.64}","{'right': 23, 'up': 10, 'down': 10, 'left': 7}","{'truck': 13, 'bus': 10, 'car': 13, 'bike': 14}"
fixed_even_120,fixed_log_120_20250629_043126.csv,50,98.0,15.57,0.0,48.85,"{'right': 12.58, 'down': 21.42, 'left': 11.85, 'up': 19.45}","{'right': 12, 'up': 12, 'down': 9, 'left': 17}","{'car': 12, 'bus': 10, 'bike': 13, 'truck': 15}"
fixed_even_120,fixed_log_120_20250629_043131.csv,50,111.0,19.95,0.0,52.98,"{'right': 18.88, 'down': 15.3, 'left': 18.88, 'up': 25.51}","{'right': 11, 'up': 14, 'down': 11, 'left': 14}","{'car': 22, 'bus': 12, 'truck': 9, 'bike': 7}"
priority_even_120,priority_log_120_20250622_071715.csv,50,100.0,8.15,0.0,36.38,"{'right': 7.31, 'left': 10.15, 'down': 8.03, 'up': 7.62}","{'right': 16, 'up': 9, 'down': 15, 'left': 10}","{'truck': 13, 'car': 10, 'bus': 15, 'bike': 12}"
fixed_even_120,fixed_log_120_20250622_071740.csv,50,98.0,19.94,0.0,53.77,"{'right': 19.55, 'down': 19.03, 'left': 21.42, 'up': 18.72}","{'right': 10, 'up': 9, 'down': 13, 'left': 18}","{'car': 20, 'bus': 15, 'truck': 7, 'bike': 8}"
