label,log_file,direction,algorithm,uneven_mode,duration_to_pass_n_sec,avg_wait_time_sec,min_wait_time_sec,max_wait_time_sec,vehicles_by_type
priority_bottom_left_120,priority_log_120_20250622_071224.csv,right,priority,bottom_left,47.0,6.93,0.0,12.67,"{'car': 5, 'bus': 1, 'truck': 3, 'bike': 1}"
priority_even_120,priority_log_120_20250629_043418.csv,right,priority,even,89.0,10.53,0.0,25.88,"{'car': 2, 'bus': 2, 'truck': 3, 'bike': 3}"
priority_even_120,priority_log_120_20250629_043414.csv,right,priority,even,54.0,7.26,0.0,18.4,"{'car': 3, 'bus': 4, 'truck': 1, 'bike': 2}"
priority_even_120,priority_log_120_20250622_071718.csv,right,priority,even,75.0,3.65,0.19,16.74,"{'car': 5, 'bus': 1, 'truck': 2, 'bike': 2}"
priority_even_120,priority_log_120_20250629_043419.csv,right,priority,even,59.0,11.52,0.0,34.42,"{'car': 1, 'bus': 2, 'truck': 6, 'bike': 1}"
priority_even_120,priority_log_120_20250629_043421.csv,right,priority,even,49.0,7.12,0.0,20.0,"{'car': 2, 'bus': 3, 'truck': 2, 'bike': 3}"
priority_even_120,priority_log_120_20250629_043415.csv,right,priority,even,33.0,5.45,0.0,12.52,"{'car': 3, 'bus': 2, 'truck': 2, 'bike': 3}"
priority_even_120,priority_log_120_20250629_043416.csv,right,priority,even,103.0,11.88,0.0,38.7,"{'car': 2, 'bus': 4, 'truck': 1, 'bike': 3}"
priority_even_120,priority_log_120_20250629_043412.csv,right,priority,even,35.0,11.03,0.0,17.75,"{'car': 1, 'bus': 3, 'truck': 3, 'bike': 3}"
priority_even_120,priority_log_120_20250622_071717.csv,right,priority,even,91.0,6.45,0.0,24.01,"{'car': 4, 'bus': 1, 'truck': 1, 'bike': 4}"
priority_even_120,priority_log_120_20250629_043420.csv,right,priority,even,60.0,9.69,0.0,26.4,"{'car': 1, 'bus': 3, 'truck': 3, 'bike': 3}"
priority_even_120,priority_log_120_20250629_043413.csv,right,priority,even,72.0,9.1,0.0,22.55,"{'car': 3, 'bus': 2, 'truck': 3, 'bike': 2}"
priority_even_120,priority_log_120_20250622_071719.csv,right,priority,even,60.0,4.11,0.0,19.07,"{'car': 2, 'bus': 2, 'truck': 1, 'bike': 5}"
priority_even_120,priority_log_120_20250622_071716.csv,right,priority,even,99.0,9.5,0.0,33.29,"{'car': 6, 'bus': 1, 'truck': 2, 'bike': 1}"
priority_even_120,priority_log_120_20250629_043411.csv,right,priority,even,40.0,3.64,0.0,12.77,"{'car': 2, 'bus': 3, 'truck': 3, 'bike': 2}"
priority_even_120,priority_log_120_20250622_071715.csv,right,priority,even,72.0,6.35,0.0,27.11,"{'car': 2, 'bus': 3, 'truck': 4, 'bike': 1}"
